,Cell count,# Branches,# Junctions,# End-points,Avg branch length,Branches/cell,Junctions/cell,End-points/cell,Avg branch length/cell
1_LeftDG_1a,65,,,,,,,,
1_LeftDG_1b,41,,,,,,,,
1_LeftDG_2a,52,,,,,,,,
1_LeftDG_2b,42,,,,,,,,
1_LeftDG_3a,38,,,,,,,,
1_LeftDG_3b,51,,,,,,,,
1_RightCA1_1,61,,,,,,,,
1_RightCA1_2,59,,,,,,,,
1_RightCA1_3,55,,,,,,,,
1_RightCA3_1,51,,,,,,,,
1_RightCA3_2,53,,,,,,,,
1_RightCA3_3,47,,,,,,,,
1_RightDG_1a,59,,,,,,,,
1_RightDG_1b,57,,,,,,,,
1_RightDG_2a,57,,,,,,,,
1_RightDG_2b,46,,,,,,,,
1_RightDG_3a,43,,,,,,,,
1_RightDG_3b,49,,,,,,,,
2_LeftCA1_1,49,,,,,,,,
2_LeftCA1_2,54,,,,,,,,
2_LeftCA1_3,54,,,,,,,,
2_LeftCA3_1,36,,,,,,,,
2_LeftCA3_2,49,,,,,,,,
2_LeftCA3_3,51,,,,,,,,
2_LeftDG_1a,55,,,,,,,,
2_LeftDG_1b,29,,,,,,,,
2_LeftDG_2a,54,,,,,,,,
2_LeftDG_2b,49,,,,,,,,
2_LeftDG_3a,45,,,,,,,,
2_LeftDG_3b,37,,,,,,,,
2_RightCA1_1,45,,,,,,,,
2_RightCA1_2,58,,,,,,,,
2_RightCA1_3,53,,,,,,,,
2_RightCA3_1,38,,,,,,,,
2_RightCA3_2,48,,,,,,,,
2_RightCA3_3,42,,,,,,,,
2_RightDG_1a,34,,,,,,,,
2_RightDG_1b,26,,,,,,,,
2_RightDG_2a,53,,,,,,,,
2_RightDG_2b,53,,,,,,,,
2_RightDG_3a,43,,,,,,,,
2_RightDG_3b,34,,,,,,,,
3_LeftCA1_1,56,,,,,,,,
3_LeftCA1_2,47,,,,,,,,
3_LeftCA1_3,58,,,,,,,,
3_LeftCA3_1,43,,,,,,,,
3_LeftCA3_2,41,,,,,,,,
3_LeftCA3_3,44,,,,,,,,
3_LeftDG_1a,46,,,,,,,,
3_LeftDG_1b,36,,,,,,,,
3_LeftDG_2a,40,,,,,,,,
3_LeftDG_2b,31,,,,,,,,
3_LeftDG_3a,43,,,,,,,,
3_LeftDG_3b,47,,,,,,,,
3_RightCA1_1,66,,,,,,,,
3_RightCA1_2,45,,,,,,,,
3_RightCA1_3,51,,,,,,,,
3_RightCA3_1,46,,,,,,,,
3_RightCA3_2,39,,,,,,,,
3_RightCA3_3,36,,,,,,,,
3_RightDG_1a,59,,,,,,,,
3_RightDG_1b,50,,,,,,,,
3_RightDG_2a,35,,,,,,,,
3_RightDG_2b,28,,,,,,,,
3_RightDG_3a,52,,,,,,,,
3_RightDG_3b,43,,,,,,,,
4_LeftCA1_1,57,,,,,,,,
4_LeftCA1_2,48,,,,,,,,
4_LeftCA1_3,47,,,,,,,,
4_LeftCA3_1,50,,,,,,,,
4_LeftCA3_2,40,,,,,,,,
4_LeftCA3_3,43,,,,,,,,
4_LeftDG_1a,89,,,,,,,,
4_LeftDG_1b,36,,,,,,,,
4_LeftDG_2a,71,,,,,,,,
4_LeftDG_2b,28,,,,,,,,
4_LeftDG_3a,81,,,,,,,,
4_LeftDG_3b,50,,,,,,,,
4_RightCA1_1,70,,,,,,,,
4_RightCA1_2,45,,,,,,,,
4_RightCA1_3,58,,,,,,,,
4_RightCA3_1,43,,,,,,,,
4_RightCA3_2,50,,,,,,,,
4_RightCA3_3,34,,,,,,,,
4_RightDG_1a,50,,,,,,,,
4_RightDG_1b,37,,,,,,,,
4_RightDG_2a,40,,,,,,,,
4_RightDG_2b,31,,,,,,,,
4_RightDG_3a,82,,,,,,,,
4_RightDG_3b,32,,,,,,,,
5_LeftCA1_1,45,,,,,,,,
5_LeftCA1_2,39,,,,,,,,
5_LeftCA1_3,49,,,,,,,,
5_LeftCA3_1,30,,,,,,,,
5_LeftCA3_2,36,,,,,,,,
5_LeftCA3_3,41,,,,,,,,
5_LeftDG_1a,56,,,,,,,,
5_LeftDG_1b,35,,,,,,,,
5_LeftDG_2a,42,,,,,,,,
5_LeftDG_2b,38,,,,,,,,
5_LeftDG_3a,59,,,,,,,,
5_LeftDG_3b,30,,,,,,,,
5_RightCA1_1,50,,,,,,,,
5_RightCA1_2,48,,,,,,,,
5_RightCA1_3,44,,,,,,,,
5_RightCA3_1,30,,,,,,,,
5_RightCA3_2,41,,,,,,,,
5_RightCA3_3,43,,,,,,,,
5_RightDG_1a,62,,,,,,,,
5_RightDG_1b,35,,,,,,,,
5_RightDG_2a,50,,,,,,,,
5_RightDG_2b,46,,,,,,,,
5_RightDG_3a,40,,,,,,,,
5_RightDG_3b,32,,,,,,,,
7_LeftCA1_1,52,,,,,,,,
7_LeftCA1_2,55,,,,,,,,
7_LeftCA1_3,58,,,,,,,,
7_LeftCA3_1,51,,,,,,,,
7_LeftCA3_2,56,,,,,,,,
7_LeftCA3_3,46,,,,,,,,
7_LeftDG_1a,70,,,,,,,,
7_LeftDG_1b,45,,,,,,,,
7_LeftDG_2a,49,,,,,,,,
7_LeftDG_2b,37,,,,,,,,
7_LeftDG_3a,77,,,,,,,,
7_LeftDG_3b,46,,,,,,,,
7_RightCA1_1,63,,,,,,,,
7_RightCA1_2,53,,,,,,,,
7_RightCA1_3,59,,,,,,,,
7_RightCA3_1,45,,,,,,,,
7_RightCA3_2,41,,,,,,,,
7_RightCA3_3,37,,,,,,,,
7_RightDG_1a,62,,,,,,,,
7_RightDG_1b,37,,,,,,,,
7_RightDG_2a,76,,,,,,,,
7_RightDG_2b,50,,,,,,,,
7_RightDG_3a,62,,,,,,,,
7_RightDG_3b,42,,,,,,,,
32_LeftCA1_1,60,,,,,,,,
32_LeftCA1_2,44,,,,,,,,
32_LeftCA1_3,52,,,,,,,,
32_LeftCA3_1,47,,,,,,,,
32_LeftCA3_2,35,,,,,,,,
32_LeftCA3_3,45,,,,,,,,
32_LeftDG_1a,45,,,,,,,,
32_LeftDG_1b,30,,,,,,,,
32_LeftDG_2a,53,,,,,,,,
32_LeftDG_2b,39,,,,,,,,
32_LeftDG_3a,46,,,,,,,,
32_LeftDG_3b,37,,,,,,,,
32_RightCA1_1,54,,,,,,,,
32_RightCA1_2,57,,,,,,,,
32_RightCA1_3,50,,,,,,,,
32_RightCA3_1,35,,,,,,,,
32_RightCA3_2,45,,,,,,,,
32_RightCA3_3,32,,,,,,,,
32_RightDG_1a,61,,,,,,,,
32_RightDG_1b,28,,,,,,,,
32_RightDG_2a,66,,,,,,,,
32_RightDG_2b,32,,,,,,,,
32_RightDG_3a,54,,,,,,,,
32_RightDG_3b,42,,,,,,,,
34_LeftCA1_1,47,,,,,,,,
34_LeftCA1_2,55,,,,,,,,
34_LeftCA1_3,57,,,,,,,,
34_LeftCA3_1,45,,,,,,,,
34_LeftCA3_2,45,,,,,,,,
34_LeftCA3_3,36,,,,,,,,
34_LeftDG_1a,60,,,,,,,,
34_LeftDG_1b,42,,,,,,,,
34_LeftDG_2a,67,,,,,,,,
34_LeftDG_2b,45,,,,,,,,
34_LeftDG_3a,62,,,,,,,,
34_LeftDG_3b,38,,,,,,,,
34_RightCA1_1,52,,,,,,,,
34_RightCA1_2,52,,,,,,,,
34_RightCA1_3,54,,,,,,,,
34_RightCA3_1,36,,,,,,,,
34_RightCA3_2,40,,,,,,,,
34_RightCA3_3,36,,,,,,,,
34_RightDG_1a,47,,,,,,,,
34_RightDG_1b,51,,,,,,,,
34_RightDG_2a,54,,,,,,,,
34_RightDG_2b,45,,,,,,,,
34_RightDG_3a,61,,,,,,,,
34_RightDG_3b,45,,,,,,,,
45_LeftCA1_1,60,,,,,,,,
45_LeftCA1_2,68,,,,,,,,
45_LeftCA1_3,61,,,,,,,,
45_LeftCA3_1,48,,,,,,,,
45_LeftCA3_2,48,,,,,,,,
45_LeftCA3_3,53,,,,,,,,
45_LeftDG_1a,75,,,,,,,,
45_LeftDG_1b,54,,,,,,,,
45_LeftDG_2a,56,,,,,,,,
45_LeftDG_2b,54,,,,,,,,
45_LeftDG_3a,50,,,,,,,,
45_LeftDG_3b,44,,,,,,,,
45_RightCA1_1,65,,,,,,,,
45_RightCA1_2,72,,,,,,,,
45_RightCA1_3,55,,,,,,,,
45_RightCA3_1,53,,,,,,,,
45_RightCA3_2,54,,,,,,,,
45_RightCA3_3,45,,,,,,,,
45_RightDG_1a,68,,,,,,,,
45_RightDG_1b,52,,,,,,,,
45_RightDG_2a,58,,,,,,,,
45_RightDG_2b,50,,,,,,,,
45_RightDG_3a,52,,,,,,,,
45_RightDG_3b,51,,,,,,,,
47_LeftCA1_1,61,,,,,,,,
47_LeftCA1_2,56,,,,,,,,
47_LeftCA1_3,59,,,,,,,,
47_LeftCA3_1,51,,,,,,,,
47_LeftCA3_2,48,,,,,,,,
47_LeftCA3_3,43,,,,,,,,
47_LeftDG_1a,64,,,,,,,,
47_LeftDG_1b,45,,,,,,,,
47_LeftDG_2a,48,,,,,,,,
47_LeftDG_2b,45,,,,,,,,
47_LeftDG_3a,40,,,,,,,,
47_LeftDG_3b,40,,,,,,,,
47_RightCA1_1,56,,,,,,,,
47_RightCA1_2,55,,,,,,,,
47_RightCA1_3,39,,,,,,,,
47_RightCA3_1,35,,,,,,,,
47_RightCA3_2,36,,,,,,,,
47_RightCA3_3,42,,,,,,,,
47_RightDG_1a,55,,,,,,,,
47_RightDG_1b,41,,,,,,,,
47_RightDG_2a,42,,,,,,,,
47_RightDG_2b,37,,,,,,,,
47_RightDG_3a,42,,,,,,,,
47_RightDG_3b,35,,,,,,,,
49_LeftCA1_1,49,,,,,,,,
49_LeftCA1_2,47,,,,,,,,
49_LeftCA1_3,66,,,,,,,,
49_LeftCA3_1,42,,,,,,,,
49_LeftCA3_2,39,,,,,,,,
49_LeftCA3_3,39,,,,,,,,
49_LeftDG_1a,61,,,,,,,,
49_LeftDG_1b,43,,,,,,,,
49_LeftDG_2a,71,,,,,,,,
49_LeftDG_2b,38,,,,,,,,
49_LeftDG_3a,57,,,,,,,,
49_LeftDG_3b,49,,,,,,,,
49_RightCA1_1,50,,,,,,,,
49_RightCA1_2,39,,,,,,,,
49_RightCA1_3,70,,,,,,,,
49_RightCA3_1,42,,,,,,,,
49_RightCA3_2,40,,,,,,,,
49_RightCA3_3,41,,,,,,,,
49_RightDG_1a,69,,,,,,,,
49_RightDG_1b,50,,,,,,,,
49_RightDG_2a,67,,,,,,,,
49_RightDG_2b,43,,,,,,,,
49_RightDG_3a,50,,,,,,,,
49_RightDG_3b,42,,,,,,,,
66_LeftCA1_1,75,,,,,,,,
66_LeftCA1_2,72,,,,,,,,
66_LeftCA1_3,65,,,,,,,,
66_LeftCA3_1,64,,,,,,,,
66_LeftCA3_2,66,,,,,,,,
66_LeftCA3_3,59,,,,,,,,
66_LeftDG_1a,64,,,,,,,,
66_LeftDG_1b,67,,,,,,,,
66_LeftDG_2a,67,,,,,,,,
66_LeftDG_2b,61,,,,,,,,
66_LeftDG_3a,58,,,,,,,,
66_LeftDG_3b,51,,,,,,,,
66_RightCA1_1,66,,,,,,,,
66_RightCA1_2,53,,,,,,,,
66_RightCA1_3,58,,,,,,,,
66_RightCA3_1,54,,,,,,,,
66_RightCA3_2,52,,,,,,,,
66_RightCA3_3,56,,,,,,,,
66_RightDG_1a,60,,,,,,,,
66_RightDG_1b,53,,,,,,,,
66_RightDG_2a,60,,,,,,,,
66_RightDG_2b,51,,,,,,,,
66_RightDG_3a,56,,,,,,,,
66_RightDG_3b,63,,,,,,,,
68_LeftCA1_1,57,,,,,,,,
68_LeftCA1_2,88,,,,,,,,
68_LeftCA1_3,80,,,,,,,,
68_LeftCA3_1,64,,,,,,,,
68_LeftCA3_2,60,,,,,,,,
68_LeftCA3_3,69,,,,,,,,
68_LeftDG_1a,70,,,,,,,,
68_LeftDG_1b,62,,,,,,,,
68_LeftDG_2a,78,,,,,,,,
68_LeftDG_2b,63,,,,,,,,
68_LeftDG_3a,72,,,,,,,,
68_LeftDG_3b,65,,,,,,,,
68_RightCA1_1,69,,,,,,,,
68_RightCA1_2,83,,,,,,,,
68_RightCA1_3,79,,,,,,,,
68_RightCA3_1,58,,,,,,,,
68_RightCA3_2,75,,,,,,,,
68_RightCA3_3,63,,,,,,,,
68_RightDG_1a,82,,,,,,,,
68_RightDG_1b,75,,,,,,,,
68_RightDG_2a,83,,,,,,,,
68_RightDG_2b,89,,,,,,,,
68_RightDG_3a,86,,,,,,,,
68_RightDG_3b,64,,,,,,,,
70_LeftCA1_1,39,,,,,,,,
70_LeftCA1_2,37,,,,,,,,
70_LeftCA1_3,39,,,,,,,,
70_LeftCA3_1,33,,,,,,,,
70_LeftCA3_2,41,,,,,,,,
70_LeftCA3_3,41,,,,,,,,
70_LeftDG_1a,34,,,,,,,,
70_LeftDG_1b,34,,,,,,,,
70_LeftDG_2a,44,,,,,,,,
70_LeftDG_2b,33,,,,,,,,
70_LeftDG_3a,35,,,,,,,,
70_LeftDG_3b,21,,,,,,,,
70_RightCA1_1,38,,,,,,,,
70_RightCA1_2,40,,,,,,,,
70_RightCA1_3,45,,,,,,,,
70_RightCA3_1,38,,,,,,,,
70_RightCA3_2,37,,,,,,,,
70_RightCA3_3,32,,,,,,,,
70_RightDG_1a,38,,,,,,,,
70_RightDG_1b,25,,,,,,,,
70_RightDG_2a,44,,,,,,,,
70_RightDG_2b,29,,,,,,,,
70_RightDG_3a,26,,,,,,,,
70_RightDG_3b,24,,,,,,,,
81_LeftCA1_1,50,,,,,,,,
81_LeftCA1_2,50,,,,,,,,
81_LeftCA1_3,65,,,,,,,,
81_LeftCA3_1,54,,,,,,,,
81_LeftCA3_2,44,,,,,,,,
81_LeftCA3_3,49,,,,,,,,
81_LeftDG_1a,30,,,,,,,,
81_LeftDG_1b,30,,,,,,,,
81_LeftDG_2a,34,,,,,,,,
81_LeftDG_2b,32,,,,,,,,
81_LeftDG_3a,55,,,,,,,,
81_LeftDG_3b,41,,,,,,,,
81_RightCA1_1,54,,,,,,,,
81_RightCA1_2,45,,,,,,,,
81_RightCA1_3,52,,,,,,,,
81_RightCA3_1,52,,,,,,,,
81_RightCA3_2,34,,,,,,,,
81_RightCA3_3,47,,,,,,,,
81_RightDG_1a,42,,,,,,,,
81_RightDG_1b,24,,,,,,,,
81_RightDG_2a,36,,,,,,,,
81_RightDG_2b,28,,,,,,,,
81_RightDG_3a,42,,,,,,,,
81_RightDG_3b,40,,,,,,,,
83_LeftCA1_1,54,,,,,,,,
83_LeftCA1_2,56,,,,,,,,
83_LeftCA1_3,54,,,,,,,,
83_LeftCA3_1,46,,,,,,,,
83_LeftCA3_2,49,,,,,,,,
83_LeftCA3_3,52,,,,,,,,
83_LeftDG_1a,58,,,,,,,,
83_LeftDG_1b,56,,,,,,,,
83_LeftDG_2a,43,,,,,,,,
83_LeftDG_2b,48,,,,,,,,
83_LeftDG_3a,53,,,,,,,,
83_LeftDG_3b,38,,,,,,,,
83_RightCA1_1,55,,,,,,,,
83_RightCA1_2,47,,,,,,,,
83_RightCA1_3,43,,,,,,,,
83_RightCA3_1,51,,,,,,,,
83_RightCA3_2,46,,,,,,,,
83_RightCA3_3,40,,,,,,,,
83_RightDG_1a,46,,,,,,,,
83_RightDG_1b,53,,,,,,,,
83_RightDG_2a,45,,,,,,,,
83_RightDG_2b,37,,,,,,,,
83_RightDG_3a,46,,,,,,,,
83_RightDG_3b,43,,,,,,,,
85_LeftCA1_1,64,,,,,,,,
85_LeftCA1_2,57,,,,,,,,
85_LeftCA1_3,61,,,,,,,,
85_LeftCA3_1,60,,,,,,,,
85_LeftCA3_2,55,,,,,,,,
85_LeftCA3_3,47,,,,,,,,
85_LeftDG_1a,44,,,,,,,,
85_LeftDG_1b,54,,,,,,,,
85_LeftDG_2a,55,,,,,,,,
85_LeftDG_2b,61,,,,,,,,
85_LeftDG_3a,42,,,,,,,,
85_LeftDG_3b,37,,,,,,,,
85_RightCA1_1,52,,,,,,,,
85_RightCA1_2,64,,,,,,,,
85_RightCA1_3,52,,,,,,,,
85_RightCA3_1,53,,,,,,,,
85_RightCA3_2,55,,,,,,,,
85_RightCA3_3,49,,,,,,,,
85_RightDG_1a,50,,,,,,,,
85_RightDG_1b,60,,,,,,,,
85_RightDG_2a,59,,,,,,,,
85_RightDG_2b,55,,,,,,,,
85_RightDG_3a,63,,,,,,,,
85_RightDG_3b,32,,,,,,,,
110_LeftCA1_1,59,,,,,,,,
110_LeftCA1_2,45,,,,,,,,
110_LeftCA1_3,62,,,,,,,,
110_LeftCA3_1,47,,,,,,,,
110_LeftCA3_2,48,,,,,,,,
110_LeftCA3_3,58,,,,,,,,
110_LeftDG_1a,58,,,,,,,,
110_LeftDG_1b,54,,,,,,,,
110_LeftDG_2a,57,,,,,,,,
110_LeftDG_2b,44,,,,,,,,
110_LeftDG_3a,61,,,,,,,,
110_LeftDG_3b,53,,,,,,,,
110_RightCA1_1,58,,,,,,,,
110_RightCA1_2,52,,,,,,,,
110_RightCA1_3,69,,,,,,,,
110_RightCA3_1,54,,,,,,,,
110_RightCA3_2,53,,,,,,,,
110_RightCA3_3,56,,,,,,,,
110_RightDG_1a,68,,,,,,,,
110_RightDG_1b,58,,,,,,,,
110_RightDG_2a,58,,,,,,,,
110_RightDG_2b,57,,,,,,,,
110_RightDG_3a,82,,,,,,,,
110_RightDG_3b,58,,,,,,,,
112_LeftCA1_1,66,,,,,,,,
112_LeftCA1_2,67,,,,,,,,
112_LeftCA1_3,76,,,,,,,,
112_LeftCA3_1,60,,,,,,,,
112_LeftCA3_2,66,,,,,,,,
112_LeftCA3_3,48,,,,,,,,
112_LeftDG_1a,48,,,,,,,,
112_LeftDG_1b,49,,,,,,,,
112_LeftDG_2a,76,,,,,,,,
112_LeftDG_2b,74,,,,,,,,
112_LeftDG_3a,67,,,,,,,,
112_LeftDG_3b,70,,,,,,,,
112_RightCA1_1,61,,,,,,,,
112_RightCA1_2,71,,,,,,,,
112_RightCA1_3,68,,,,,,,,
112_RightCA3_1,53,,,,,,,,
112_RightCA3_2,66,,,,,,,,
112_RightCA3_3,54,,,,,,,,
112_RightDG_1a,59,,,,,,,,
112_RightDG_1b,55,,,,,,,,
112_RightDG_2a,76,,,,,,,,
112_RightDG_2b,54,,,,,,,,
112_RightDG_3a,60,,,,,,,,
112_RightDG_3b,54,,,,,,,,
114_LeftCA1_1,39,,,,,,,,
114_LeftCA1_2,56,,,,,,,,
114_LeftCA1_3,45,,,,,,,,
114_LeftCA3_1,39,,,,,,,,
114_LeftCA3_2,41,,,,,,,,
114_LeftCA3_3,40,,,,,,,,
114_LeftDG_1a,33,,,,,,,,
114_LeftDG_1b,31,,,,,,,,
114_LeftDG_2a,46,,,,,,,,
114_LeftDG_2b,54,,,,,,,,
114_LeftDG_3a,41,,,,,,,,
114_LeftDG_3b,60,,,,,,,,
114_RightCA1_1,53,,,,,,,,
114_RightCA1_2,67,,,,,,,,
114_RightCA1_3,64,,,,,,,,
114_RightCA3_1,39,,,,,,,,
114_RightCA3_2,47,,,,,,,,
114_RightCA3_3,49,,,,,,,,
114_RightDG_1a,40,,,,,,,,
114_RightDG_1b,40,,,,,,,,
114_RightDG_2a,46,,,,,,,,
114_RightDG_2b,49,,,,,,,,
114_RightDG_3a,54,,,,,,,,
114_RightDG_3b,44,,,,,,,,
117_LeftCA1_1,75,,,,,,,,
117_LeftCA1_2,90,,,,,,,,
117_LeftCA1_3,85,,,,,,,,
117_LeftCA3_1,65,,,,,,,,
117_LeftCA3_2,83,,,,,,,,
117_LeftCA3_3,72,,,,,,,,
117_LeftDG_1a,80,,,,,,,,
117_LeftDG_1b,69,,,,,,,,
117_LeftDG_2a,90,,,,,,,,
117_LeftDG_2b,80,,,,,,,,
117_LeftDG_3a,91,,,,,,,,
117_LeftDG_3b,62,,,,,,,,
117_RightCA1_1,73,,,,,,,,
117_RightCA1_2,65,,,,,,,,
117_RightCA1_3,69,,,,,,,,
117_RightCA3_1,64,,,,,,,,
117_RightCA3_2,58,,,,,,,,
117_RightCA3_3,64,,,,,,,,
117_RightDG_1a,84,,,,,,,,
117_RightDG_1b,59,,,,,,,,
117_RightDG_2a,74,,,,,,,,
117_RightDG_2b,64,,,,,,,,
117_RightDG_3a,54,,,,,,,,
117_RightDG_3b,51,,,,,,,,
119_LeftCA1_1,102,,,,,,,,
119_LeftCA1_2,89,,,,,,,,
119_LeftCA1_3,79,,,,,,,,
119_LeftCA3_1,83,,,,,,,,
119_LeftCA3_2,62,,,,,,,,
119_LeftCA3_3,70,,,,,,,,
119_LeftDG_1a,82,,,,,,,,
119_LeftDG_1b,62,,,,,,,,
119_LeftDG_2a,65,,,,,,,,
119_LeftDG_2b,65,,,,,,,,
119_LeftDG_3a,77,,,,,,,,
119_LeftDG_3b,63,,,,,,,,
119_RightCA1_1,80,,,,,,,,
119_RightCA1_2,80,,,,,,,,
119_RightCA1_3,79,,,,,,,,
119_RightCA3_1,67,,,,,,,,
119_RightCA3_2,71,,,,,,,,
119_RightCA3_3,65,,,,,,,,
119_RightDG_1a,91,,,,,,,,
119_RightDG_1b,85,,,,,,,,
119_RightDG_2a,81,,,,,,,,
119_RightDG_2b,84,,,,,,,,
119_RightDG_3a,76,,,,,,,,
119_RightDG_3b,79,,,,,,,,
121_LeftCA1_1,63,,,,,,,,
121_LeftCA1_2,47,,,,,,,,
121_LeftCA1_3,61,,,,,,,,
121_LeftCA3_1,51,,,,,,,,
121_LeftCA3_2,44,,,,,,,,
121_LeftCA3_3,58,,,,,,,,
121_LeftDG_1a,43,,,,,,,,
121_LeftDG_1b,51,,,,,,,,
121_LeftDG_2a,44,,,,,,,,
121_LeftDG_2b,58,,,,,,,,
121_LeftDG_3a,54,,,,,,,,
121_LeftDG_3b,54,,,,,,,,
121_RightCA1_1,51,,,,,,,,
121_RightCA1_2,47,,,,,,,,
121_RightCA1_3,69,,,,,,,,
121_RightCA3_1,54,,,,,,,,
121_RightCA3_2,52,,,,,,,,
121_RightCA3_3,65,,,,,,,,
121_RightDG_1a,49,,,,,,,,
121_RightDG_1b,56,,,,,,,,
121_RightDG_2a,52,,,,,,,,
121_RightDG_2b,59,,,,,,,,
121_RightDG_3a,44,,,,,,,,
121_RightDG_3b,61,,,,,,,,
140_LeftCA1_1,64,,,,,,,,
140_LeftCA1_2,86,,,,,,,,
140_LeftCA1_3,70,,,,,,,,
140_LeftCA3_1,41,,,,,,,,
140_LeftCA3_2,57,,,,,,,,
140_LeftCA3_3,53,,,,,,,,
140_LeftDG_1a,76,,,,,,,,
140_LeftDG_1b,52,,,,,,,,
140_LeftDG_2a,77,,,,,,,,
140_LeftDG_2b,61,,,,,,,,
140_LeftDG_3a,87,,,,,,,,
140_LeftDG_3b,54,,,,,,,,
140_RightCA1_1,79,,,,,,,,
140_RightCA1_2,68,,,,,,,,
140_RightCA1_3,68,,,,,,,,
140_RightCA3_1,67,,,,,,,,
140_RightCA3_2,62,,,,,,,,
140_RightCA3_3,55,,,,,,,,
140_RightDG_1a,80,,,,,,,,
140_RightDG_1b,51,,,,,,,,
140_RightDG_2a,78,,,,,,,,
140_RightDG_2b,55,,,,,,,,
140_RightDG_3a,85,,,,,,,,
140_RightDG_3b,55,,,,,,,,
141_LeftCA1_1,93,,,,,,,,
141_LeftCA1_2,89,,,,,,,,
141_LeftCA1_3,73,,,,,,,,
141_LeftCA3_1,73,,,,,,,,
141_LeftCA3_2,86,,,,,,,,
141_LeftCA3_3,71,,,,,,,,
141_LeftDG_1a,83,,,,,,,,
141_LeftDG_1b,77,,,,,,,,
141_LeftDG_2a,103,,,,,,,,
141_LeftDG_2b,75,,,,,,,,
141_LeftDG_3a,81,,,,,,,,
141_LeftDG_3b,69,,,,,,,,
141_RightCA1_1,94,,,,,,,,
141_RightCA1_2,93,,,,,,,,
141_RightCA1_3,87,,,,,,,,
141_RightCA3_1,71,,,,,,,,
141_RightCA3_2,79,,,,,,,,
